Medallion,Number_of_Rides,Total
011D4D788982F461B5CEC68008AD5D10,20690,297401.0
113D0572C45BFA1D44C96D25A5F7089F,21342,297383.0
630D390996EED8370C1E5494B9EFED1F,22078,297236.0
D2B4FB1068872B5112040738821988A1,20820,296744.0
E6101A0F85312C49A5B5950E61D284DC,21911,296725.0
8AD0B4FDBF2F62F88E735AD08C3D2CD7,21006,296652.0
7B7618373861A6AF2C98F03FB06939BB,21219,296562.0
D5C7F7DC0DAEAA572443DFD52CE82F47,20951,296409.0
2A2A95C293FCEA281B5E9A82D3177804,20320,295931.0
EA81B879BD3988347B38D820C3B5FA64,20537,295771.0
D07675FDBF681426B66848DA4D3E6780,19421,295663.0
724234455BC359EE07C8D7442F2A3E5D,21728,295372.0
171FD91CBF0D6FABF499A9452A4950D5,22479,294691.0
2A4681196DB5419EB816DFE971E070A5,19398,294632.0
ECA93E35787F853C821C5436F61B3E41,19406,294041.0
86F6A688D514DA4666B95EEDBD7D861A,21175,293779.0
446232525BBB5801AB8FB6DDB67A0FD1,19596,293769.0
984981D1C37073D5B6BF9D11D2CDDB21,19263,293739.0
E79F27D39B6F2E521F19EB482BAA72FD,20411,293689.0
6FE6DFF9A59C0B64BE0CA64EE2699F08,21802,293686.0
5D1EFEFC3E43D445885529F69114FA7E,20010,293541.0
BFC65FA90BB44293A208BC632FD22054,20521,293510.0
ABE7C82C1C781A4718C32F6E607EB4C2,21152,293282.0
684015CDE2579582897C6C6FB2576D7D,20680,293180.0
0F6CF8A85A039CDF369F01F2774682BA,21123,292985.0
E5A71AB7F8D74511B46ABD8A894CC870,21359,292927.0
863B16C717F37CE86D60435ACEEB0E2D,21795,292867.0
EBB1582099BA78FE7462122ADE840347,20442,292645.0
EF275CC2A74C71947926C4510A5AD5F2,21530,292579.0
CC2FB4FEA7B2817988542CC5607EA6E2,21523,292458.0
1D840F41F5866D6995429C96C863CFDF,22486,292428.0
0832BDD7A3BE2ECA14DC518FCA8B7E5D,21935,292294.0
7A244CCB309CDA8071892F11902ADC5C,20082,292063.0
9E888418F983E0F3C634ACA3DD05016B,19648,291955.0
5B094A6DC92FEE41106DE354E83BDD7C,21983,291823.0
591923461FC62281214C1927672A97E2,21207,291647.0
FFEF5E9BA26FC9B6B5F2CF433833572D,21323,291482.0
1FFE6E69C0B4762235E9885B7FB0749C,21985,291435.0
5943FA32855CEA9401FF1774F28AA42C,21309,291133.0
2ACD60D565F510B4B32EF75DCE0CCBF0,19752,290925.0
605B942DC04E8C4DE35902374C7C2B4B,19797,290606.0
03BF54085C92C385889B957D804780D1,20218,290550.0
CCC956ECAB138CFE94C42747548CA8E0,20767,290526.0
3F8006D3B159447C6A3FCEB015C791DA,19976,290426.0
43EE741BA1397FECCE21070A51723179,17713,290021.0
8282A116E9700C127D757ACA20EAD16F,19799,289906.0
E0AA965A6EF756AD2C5FBF64E5257F3C,21764,289871.0
E686580C1A4A1EB60286F0F0BE98B247,19958,289764.0
6EAF54E36DE57B708CE39CCDC3B408B8,20561,289763.0
B352A440CEAC5B82C18D6ECF37AC6D17,20328,289105.0
99B1FD019B175E0CC6E57BC9E4FAAC94,21903,289102.0
7B1635AADDB360C9C664FE3A900BEF22,20780,288836.0
21B98CAC5B31414B9446D381D38EEC7F,21897,288776.0
CD84F285A569F171066653D97073B8CF,19982,288605.0
28EDC71B5EB5049A224CEC1996728A74,19640,288532.0
BFE28B7505EF96094010ABCF754DA6B1,20680,288452.0
C841CDD9EC7995E8812BC04BFB59190D,19979,288449.0
B45D01B7B5A22CFA218DEBC41C36C152,22261,288362.0
47CC9120DB85913663A9384493061850,20021,288254.0
F63596A0FAD344E0F562A6F3B626BCD6,20174,288186.0
C2F59CAC4959D3E0C9CBCE1AC94988AE,20328,288135.0
E7ED19EA8C9722D60E356EE7CDD84358,20228,288049.0
A2CBB5C715E971D8CE6C87E33AF871DA,21104,287994.0
C36DABD5D9D9F06C8EE0DAF5117938B9,21322,287874.0
6CA28FC493307AE347CDF4A4C49A9A96,20820,287806.0
834DBD712775DC97F361886D81DD2D67,20416,287470.0
AD9946EBDE3D13A4D4401A445EA2827B,19999,287467.0
F6197B160B73C8C1D59004E56CDA1C05,20273,287303.0
CD4550E771220220F4D6571D11D2C93F,19667,287287.0
E90134322479C5C01D82226C11425CD0,21364,287271.0
E097412FE23295A691BEEE56F28FB9E2,20973,287259.0
2DA12E2776B48AB3C8EBE6B57B2A0730,19845,287181.0
E10567BBAD2900F3DA14BDBA064359F6,19251,287096.0
E9FF8F5CC0B77629336C7A3257B1ED8D,19967,287076.0
8889FF286448F79E093F071C58A6A776,20614,286995.0
B83044D63E9421B76011917CE280C137,17950,286981.0
F23C9F9D405D742185C49BCC0214D6BE,20587,286896.0
CD5AE45A330D7BF954CFFA3FE7857ECA,20926,286828.0
0E65A07109BAD9A753E1238B6FE20543,21547,286793.0
2C87A10ABD3FDBB1DB6DEEB25EBA9AFA,19434,286699.0
E2F22E8D44A14B9FB83193EB0877F695,20429,286670.0
986B763D0A245A998B865F6AC1A055CA,21264,286622.0
6DC8C4F44F98A3CC42714FC68B1535CC,19968,286577.0
F570FA2341DBC7F375C5124F18632CC3,20133,286549.0
F4AC9004AEFB821FAF80B52F4B724274,20086,286439.0
669C3B9AEC40A902986193FA153E635B,20237,286438.0
141CCCA01C3B1D4C46AF4800AE395D03,20173,286435.0
D7CD4F14F8019D5343BA46973643002B,20548,286295.0
96890DA8A13056D3083CDE1D1D15ECB7,20088,286187.0
FC25ACBF065AFF0F702B4DC98BB084F5,20221,286159.0
306831428D209CDA70791B2C553E8207,19208,286159.0
EE8D55EE93F313FBE0BD7B10BFFD66EE,19243,286110.0
82762C5483146DDB6DCDB4EA2083E8E4,18242,286081.0
799CD2E1B3B9298274906B68D9E34C18,20771,286072.0
437D307F2EB2F7E349EA612FCCDEBCC0,18756,285934.0
7BAD2B9147CB49E2D5C33B6039F573CA,20804,285902.0
D10870DF96A6A201337FF2EF5B3D893D,19891,285880.0
27C2976FDFF668D3E39CB28FEF659F0B,20456,285579.0
7395FD1C5546EA0736FC188CE31B5CA4,20056,285515.0
B2CB40533C7473AA555D03FC9AC38C2F,20449,285472.0
AC91CCE2ABDCC9022F5B1BD4528E13F6,20843,285447.0
27328100F8702AD2DA7BB48912886CFF,20197,285406.0
3EC8BDDA70B148A45686D2BC098108AC,15371,285224.0
D500C7B2128873E2DBDE6B70D47BA9B2,18883,285157.0
2BE8AF8C2AAA9791C731972187AAAE80,19074,285059.0
AD2F02CE94C1F94E8B28CD7D3CE09553,21198,285058.0
7755E404335466AECD640879DDFF5E16,20326,285032.0
48797EBCB64D7092DC4DBA07CB5ADFE8,19886,284870.0
CE94E2E88748CF5B43C011F0B0F6CA82,20930,284842.0
76BBABBE9C55F57536ACE694B5CD170D,20200,284799.0
96E0AC0B2D1F686A10D7445AD9A6C09F,18163,284778.0
DCCCCA12940B129ED5213513A34ABEC6,20845,284710.0
60138D689527281AF0680AFF5564E549,20108,284698.0
6F61DA80F7D0777AC0DEEDD925A8A644,17312,284567.0
95EED289585F63FF3E6D1F81EE2BD137,17636,284531.0
212405F2BE5E4D2F8193BAF2C541CB22,20810,284248.0
EA43182AF13720393941C0C336B3DEBD,21205,284244.0
3BCD8C31FAA3F956FCF1E94F56D04A60,20846,284208.0
6C5790805A6A4B944666A6410D2DCAED,20217,284075.0
C87E6D2293BF8B907A0B7E4C2911AA5E,20445,283992.0
3252BD4C13D17BB14C065F95C80D73A2,20447,283954.0
2905ABD21DF99EA5B9741EA063266632,21130,283914.0
41410577B81EBF63D371BD07D3092DF9,19675,283879.0
C7D8A618BA23F98E3B83ADA54002414B,20148,283813.0
35C25E22F6ABB6966B7416421F777A0F,20266,283792.0
680A6CA14000DE551D88B3E56A97D8E9,18757,283743.0
4DC1D333AA2838DEAF818D17A5DAD9C2,20267,283644.0
9056E194B6A1B8087F11F9FC399C3517,17197,283344.0
624178B02E3301EDFE8305A59E5DB815,20650,283247.0
62AD274967A618BA159E3D073662F218,20237,283209.0
A837575B450E59C61E9FC4A0B869D0F1,19805,283191.0
BFBE5007C3D6DE220018DFB4F965944E,19292,283161.0
196AA2E8E1D20821456EFC09FFE57CD8,20476,283147.0
EFCD7B9B69F9BD176EDA044916E47528,20732,283119.0
20801A9439A5BED79DFD9E1C4F833BF3,16727,283109.0
3A5DD80AAB4A71574A9CDB189127DD8E,19012,283090.0
BBAA52836EC682D5B5144247A68C92C9,20416,282991.0
443668D5FC95733983627585D1233DA8,19781,282898.0
F806784A27ED16C199E56E90CBBFA7AB,19120,282887.0
E7799CBC76E9F9E7F70880736B918535,18954,282885.0
6A0EED8E1AB160F3549C7138F1CAB73E,19890,282863.0
9C12E11DA7DA44AB3886816BBE12D46D,17144,282827.0
CE8CC0787C11AD80D2D813398D2C7742,18157,282826.0
96F67FB36A356A23CF553618CB48D84E,18669,282817.0
E97A5A2829395DFAEF58D08B6833DA80,20346,282809.0
FD6A1181E0775BAB364BCC2F85E68202,21369,282728.0
FD2743EF2EE177B988235BD85890C338,18817,282696.0
D0EC8E5B8A43A1C2C0AAE9D7DF192ECA,19463,282682.0
D5C7CD37EA4D372D00F0A681CDC93F11,20738,282654.0
A28E1DA7789874A0F2533FA3981520FF,21598,282535.0
F6159237810614D8132DBBF0333DC13B,19878,282522.0
39E792C30AE8D44F556C3C009F0DBEDC,20282,282494.0
B2231EA007B1CCE41CC77B1011FF1861,18958,282481.0
F9FC646C4015E241714E7DD2D9A3342D,18494,282456.0
0A2B0D09CC814C4DFE90079A20E490E3,19319,282162.0
698A6074D905BC18FE001032FA0B2048,17397,281982.0
E8A1DA44B99DA27ED67EBC5C553573D4,17308,281816.0
3DE84BF8B00EB789CAFD1BD6903A52F4,19159,281734.0
33E27098314E66C2328FA30116225BB6,20186,281695.0
B1848BFCEBCCC8896E07371E80E3BA66,20054,281659.0
9D22434DB479CBE81DFF66D9304BB850,20585,281626.0
A4390BBD41CFBF0986A4F6F75A54FBF5,19462,281592.0
83BB95F36928F2A104ADD12EB2D4542B,21440,281591.0
7F235976D0DA20C052C8A2FFE4122223,20370,281544.0
2CCB6C8BC529CF38EB7AAAA3C8B3A427,19118,281513.0
88FE8FE49153BE6E0F0949B67D5061FE,20542,281458.0
8851E7078B855B1FA1E1F7CCC5059B15,17870,281427.0
993F002ADFF2CA2F2163F7042D3CD7EE,20151,281360.0
003EEA559FA61800874D4F6805C4A084,20156,281351.0
9961D9B1E2F8C5BC0DFCE3CEBDD4E742,19909,281347.0
7E63D85EAC3DE6A6911E6B59436536FE,18797,281336.0
463943B74072AF729AC34FF0E74EDDB8,20456,281331.0
7D5BEC7C39560EB229DF829FF300AF07,20099,281219.0
7104907CACBA7B3C37ECF61827239522,18649,281178.0
9AB060AF988E63CB0A5CEE9DA15F1F82,20927,281116.0
03BEA0DB03A589C5C77BD4152A2F4396,19769,281087.0
3CF331FBCE272974FAC9AC97F382C786,19889,280989.0
6B19837BFEAA374B7B4694799D7CC746,16615,280928.0
EFAA9F21182F7B28C0DD1026C30277DB,20293,280908.0
7426D49131D418B73D76B341C69394E7,19366,280829.0
D88BBB741FE8B4D57C2C1B9869A98CFC,19691,280731.0
48F3183D31E28CD220912FB206E374FE,20062,280683.0
E4ED88FCD99B05ED6F072D9A104402A8,19128,280530.0
720E3C5D5FB1DF1943AE33F5FECF2B15,18979,280504.0
3CC0D37737D68AA1CDE104A0467E6D58,19079,280479.0
63F59698DEFC0A23567762261610FF01,20397,280472.0
FBE166753A06B290EA5B096BB8293447,20884,280439.0
AC863FB477098FC91AFC8D4F909C84E4,19528,280373.0
3AFBD1A8787B3ABF4FE5905459D25A7A,19871,280369.0
48660A4E1F50BF3FDD3FE61EDFE73869,19560,280353.0
CAD085D0BA3DE4D6D682A3F68D25F0B6,19246,280274.0
78517F620884284B3DF1D0D7A5D30E71,20477,280242.0
CC1E8720F674DBCB90435CBB7F2D4454,19507,280192.0
303E3DE4DEBD8B0D4DBD0FBAF4512372,19303,280118.0
F7A46092A75A362687AA86EC0E32432E,19895,279994.0
A2B2499AA06F0984BD6B630187B5A212,20235,279982.0
61F95A60C23F8A914394C0A9B1302210,20108,279966.0
21166F1430E0F4A28F3AA39B53D4A935,14566,279946.0
B73FBF2F35EB5882ABD84DDDF54D7E02,21012,279933.0
0076C8327A95E988E721AC33B0FA9D67,18862,279898.0
BB217084B0BDA005DB12833575415DD0,20292,279820.0
84ED62A4E91E7C1F49E6DB963A0FE24D,19879,279811.0
6EE35E76FB48F9B79A337DDE55381126,20256,279802.0
FA7ED6D386FFB8FF3568883BB603939F,19756,279765.0
D5A684A17ECBAC303264427F4C9879C3,20106,279740.0
A1D7B8C8630CA47CE207E0F18C9F27AB,20908,279723.0
27326B9D714EA6D0EFAA5AF77BFFFFFC,18569,279621.0
A408F138216DE3E432BBF2FD88665A88,21314,279610.0
87CDD10EC56CB55A6F92D872A16AECCD,18372,279575.0
8064E1291750DCDA7C002CE0890CDD63,21352,279568.0
95460EB2B3587E3BBB786777F771BD1C,18619,279553.0
068BBBB507BB54C49473D17F9C6376B4,19279,279470.0
379C811EFA2384A038B588DFD6453717,19273,279425.0
FF2F8AB4ECBC4859813819E5A42BD3A9,20436,279424.0
B07944BF31699A169091D2B16597A4A9,19475,279423.0
7BB584EB81171917EDD2DF1B7744F0E9,19682,279402.0
93D6821F86A12B537C5EADBDFB432CA7,20067,279398.0
0DA4DCB0E5C0987E4F27F4DFF345AABB,17642,279374.0
F9FC3E227266AF1C23218E402EB69B33,19743,279288.0
49517D78029A8BCBCFD1D21B725726D8,20668,279235.0
3F13D5C7C5E7E54F4DE7B5BF124AC2E4,20436,279119.0
DECDD8770BA3D9B1F6E2C1E3F0AFC5BF,18814,279046.0
0B13031E16235A2A58D1E9B797E62BD6,19417,279038.0
647F72E0DB27329BEDE30230F6556EEF,20042,279006.0
7E496C8DFDDF4E42DF4C1FCED5826AC7,19787,278951.0
B76308C0FC5D776DA2EFFC4BC67E421F,20188,278942.0
E9FF471F36A91031FE5B6D6228674089,18960,278941.0
7E5A55739A6EFA325F650FD7739135BF,15055,278859.0
8441260514AA06A4932B0AA926573536,19671,278739.0
11303D7084F16FEBE7AB3FBCC2B6B01C,19676,278680.0
5E9BC99D16CFF51F5BB3361660713D1D,20770,278654.0
E43A1A00533E1FEE54FE612F9027FBB3,21017,278653.0
FE04674E87D69AB728BF7BEB4A3C0E61,18719,278631.0
247E69398961C347DAAED1A3C91F7F0D,18685,278629.0
0055B7428059CBA7F6176AA898075962,20130,278610.0
5643DA9CFC58C407A0B024777D5DA801,20309,278589.0
BB24D772F7F29E567AF483AA831BC7F8,19819,278536.0
9400FEF51A4DE705BD4578E3AB86A318,20063,278532.0
07A5B8AA9A594BAA47BC512D621F2074,19167,278412.0
64B5BDD93342FC1DD74C67C82E53CDA2,20432,278376.0
9B0577A732EB4882DFB7DE28F4E1191E,19420,278310.0
A994267F9554B8FE7BD2971162B85993,20442,278286.0
1A575E39B0D761E6496F002F79E34D19,20020,278140.0
4F7C132D3130970CFA892CC858F5ECB5,21737,278054.0
4EE436DEE359348231D40B2EEBAA3C1D,19312,277977.0
DA93324D79ACA5082945EAB57920BCEB,17614,277925.0
C7BF056F5E2EF6D4CCF68EA4A23502A7,20675,277912.0
C14289566BAAD9AEDD0751E5E9C73FBD,19850,277864.0
BCE59CF7BF7FC3BCAF75E0DA610454AE,18150,277840.0
96220F48ED209BACCFBFBE3309712916,18116,277829.0
F5B5E83EF52481B2BAD92B1CD8FA9EC7,21428,277827.0
E9A3CD6DAA7E1987F9779BAA22590D81,19138,277786.0
80E24DEDBF084D1002B13EE0148526FA,21014,277710.0
0993B35345855A59358A2E144B09DD7B,16911,277631.0
15510785AC24F824E91D8FA6A9CA61A3,21003,277571.0
7237EC7ABD6114EDDC87A3AA846F8418,21105,277488.0
982492ACB59633B3DE8DD331543F3634,19593,277461.0
168B2744844F9B65B4921E5A0985635C,19837,277392.0
019AFB33C3153481B058E243DED1E570,19831,277384.0
92D01E396D7AC7BD09183A7ED793E274,15435,277383.0
62A9741FAFBF7A57E1E3AB673529B45E,16652,277376.0
0B3D3D51C78E944F68DC04209E86D5F7,19605,277368.0
6C6F015FD71BCC9F7248F8C6FF2088B2,17611,277349.0
C2C866D88285E7213D8A253A2C94BDE2,20361,277338.0
D46130EEE58952844E13AE96E6A44362,18158,277309.0
DC62FE1299548D7F819CDF6608D3B245,18988,277307.0
2DA69B9659AF1B087A3BC7D5FEF3B2B7,19844,277297.0
C8F496469CB4CF297EF756F5229C542F,19466,277198.0
1AD349C9FBD91F87F7D9C33B23F6293D,20588,277196.0
CD5A34827F6540D83DCEBBCBFCC59EC2,18761,277157.0
33BE8736F809B83E3716FA92DE2E2281,19325,277143.0
30DAA9127DA29636A5D3CDD370FFB8C2,20138,277127.0
B447BBE89706DBE99712A8C53CB9AFE2,20435,277088.0
5D065820387B757289D5AD0181DEB0B4,19077,277055.0
A2316C45EE9D96F4BDC475F28A0ABE1E,19181,276967.0
50B50AD29094B406B0F9961457A2F5C8,18881,276947.0
820DEDA630F66C7E4DB0E34191D12244,19146,276834.0
B085C7CC04E3A80D137318997A8B494E,19595,276820.0
075E4BFE6607421289B566A32BC135E5,19315,276787.0
5BDCEC655258F065F248111AF553CC9F,19649,276706.0
20EA444668EF9FFAE2D5EB996883E485,19848,276652.0
05B5B0310C6F2F6A8D556547C1E18135,19931,276647.0
3990D3D4F27941B2AC62F10759259BA7,18119,276641.0
D3ED3ED4EE5BF72ACC1134911FCCE4ED,20017,276636.0
39AC06174E0C41C05AEA1C1227FD5907,18653,276621.0
8A79127C25600FC5DB7456ECD3B739FC,20199,276551.0
EDDB020BAD53D588266A8E16A783BFB9,17685,276495.0
40A357B2687E506580A249EBFA396739,19741,276488.0
7EB63132F292BB44FDF4AC9AE70281FF,19494,276445.0
6F9620ED8344537A5DF87711B6A5B561,20378,276439.0
6393830ADDAC01ACDC12124E86BE8909,19466,276408.0
FF89BA8DB91F0C24E1AFC43A22FD399E,20618,276406.0
8253316266A5CA3EFF66163574D9A0B3,20468,276265.0
B0844EC02536B2E86E59695D652C6876,19779,276220.0
FE4C521F3C1AC6F2598DEF00DDD43029,21218,276200.0
7F2FBC5953EA380D92F308BF6171D3F1,19470,276131.0
6941E9EA4BCD679F7F2F6053F8150195,20363,276129.0
F12B5E863DA39F74166C62BB5600BDDF,19657,276119.0
0B57B9633A2FECD3D3B1944AFC7471CF,19999,276111.0
8C69BE53D1B7A444055464D22DC952A5,19084,276050.0
0428E3DD09EA5A63D85509C7CA8C0199,20135,276036.0
22D57F1224F01B9317E883E99CF45640,20554,276008.0
1F2D2A9CE30FEEFD73783E5140FB97DB,19754,276005.0
74BF70986A4DF73F9E3E89D04A318AC3,18813,275989.0
F137CABB9A6E7EA1128211D07E19ADDD,19984,275948.0
63A3606575F126E953F81E932899D819,17671,275942.0
901E4965DF59FA006B74057ACE3F979F,20925,275894.0
6DBD2CAC39BDF995F473D30BADE68F47,16417,275863.0
F95E09FE2FC3EF18A2C5C351E0F98415,18838,275853.0
A6217A107F6C4F243004B51A9FFBC2A8,18400,275775.0
040AF8EB302E2DA63F97B99B93B81CAB,16665,275743.0
AB2E5756ADFEC998AA0F4A94DC7FB38B,19689,275740.0
A4169121C462B127E96C3F8A8C0E320E,20167,275702.0
E8260A241D62ECC156ECB8AD607E1E6B,20238,275700.0
44E7C547405B4DCF02234AD6674C49BA,19931,275697.0
CD7B0B3C08A0432504E11C4966FDEBC9,20020,275644.0
14AEC1DCDF57B6E61E9CA10537256695,19488,275568.0
F5818A7D75529449112CD423EA58626C,18122,275568.0
22908753E00888CC219C875C8D5BC4F6,20473,275504.0
50A6CC5D66013FA3DCCB7777481FFB21,19743,275449.0
503547D2FE43B8E2D40F76FBB5992CF1,20057,275423.0
FE4A629CB3C30DFE4AE3725B04A2D2EE,18788,275402.0
ECAAC5782F7B0E2A5464DFEA4A678F5D,19397,275394.0
253F71A0201F800FE5F1F796DE843C65,17620,275392.0
D6BCED8D9F35262EDAA80E7F2C361DE8,19155,275390.0
FB30B64440B4A7B8DBA9903C7598AD90,13113,275378.0
4D4DCCB57FB9D19D5B874B003E7DAD7D,19307,275374.0
1E7C1EB194CCFD58634305DBE0588B85,16219,275340.0
DB79E01FDBBB71351AF42FDB8324CD49,17116,275298.0
89905FAE3E1B216FE8688A81FD671A11,18827,275214.0
CD7B02776E69483397952DC5E1F44DFE,18450,275207.0
7E1346F23960CC18D7D129FA28B63A75,22394,275197.0
2F15B39D5CC3C332688612724EF80F01,18457,275175.0
FD39403FDE46B6C753DDD6518A4365D7,18918,275156.0
A69EF0FF887121C9B29A0169D55653A1,17912,275154.0
E5044EC4A438E0715E1C21590BC3EFF7,20071,275110.0
E6555F6A2CA53DC8FB4C7ACC9B612536,19992,275099.0
23CB2BF8FABAB1F17948C209601C0B60,19402,275093.0
3AE90C6CAABF6C93D56B2924A50E6C62,19278,274979.0
FB3F9ACCEB8FF83584DC597A71C39130,19420,274979.0
7B7008976C37E1CD59D1AB2231AF1697,19110,274943.0
5677EA3E0420306484A3B62BC49F3D8B,20212,274912.0
6B5AFFCF19A65A1B31ED9703192F490A,17827,274906.0
816E0E1402A2F8F6A3CEB1ABAEF874AF,18774,274903.0
4E03D87466970A4AE440B414AEFDBC5A,19298,274865.0
84883E3A8A6A7F0040E63BB1406F2BA7,19041,274817.0
AE9A579D841DDCD745D8BF7420A453EF,19244,274752.0
A2E7E502CDDDF8A93C31242FAF732735,19713,274740.0
A21033DE83739A12D04B23384D1A3CC5,18862,274738.0
406B9625D430FCA6B2013697CFF32082,19365,274714.0
1FB2BF12B504498BC8B7B860294CD372,19242,274677.0
B22297F2A4A17F33FFC23AF22EC8EEF6,19469,274667.0
61B5D857D95EF6F7BA1EF7CCED852D3D,18138,274651.0
9EE73586EEB5830AC03F2C83FB3E7E46,19584,274638.0
A47AD2D8C7273EEF99AE063BE87B46A1,20744,274609.0
B57DAB9DF7583F73D85E1099C39BF983,19823,274607.0
D1EE28871EEBF38B3945C52640E8DD63,18965,274599.0
B508625415EFAE791793C49E13FB9659,19603,274567.0
97ED1DD4A59C8F4BA31C40A673924B5E,19927,274559.0
34191B0F711962DA5405CF75A7D520DD,18183,274514.0
2392806204228D4E5ADFFD8191827698,16902,274468.0
8220D3BEF8BCF3C5DB50C66F32D9AB61,17696,274407.0
2E8F02FAEDF24344D4DF461081F69719,20244,274383.0
97E8DA22E70A6B5E0492CA90960B9ACB,19372,274240.0
B35AFCB3D9E30790A0233F2F824D505B,19651,274225.0
F70BE857E0C88D3E1D7DABCFB9C2BA1D,19835,274147.0
791C0628B0DE985E7C726154581B0632,18750,274138.0
84F313D324DE749703136FA0DB8C04EB,19131,274122.0
BDEEBD1061513B74A562C671996AC37D,19203,274061.0
D5DB49A3CBC353FB7C5DC83E09E2A333,18777,274019.0
C1A48FC85303DE1EAA952C45E131915B,19409,274011.0
282DCAD1FE61D972E2F8F7BB6C8E3AC5,19420,273964.0
E5ED28030AD9A4A6D18944B1AAB1C78B,19336,273931.0
438F5C932A8ECEEA67F39982DA760F67,16409,273920.0
C569A25684170257ADAB705240855819,19856,273913.0
A3162ED937438746E5269909C0E5AAA1,18661,273905.0
1D5E5909601077EC11E6BBB284286E09,18284,273856.0
153FD38E3A720774C19840904D4F94B8,20036,273818.0
CFFBA710DAF613A1A2DFB93B2BE2BD4E,17894,273809.0
758278AD9C63865BF453B4F48CEB4A2C,18721,273800.0
EB41562F6ECB5CA2630A85A1682D57FE,19160,273756.0
473D1C6B39C5BDD8BAE1E4822DDB4E84,18907,273742.0
95EE280EAD161DCE93D06391DB62645C,19914,273725.0
E029E0806BA2A973F4059076C92C5E29,20940,273713.0
4F5BFF21FA397E0B48A18BAAFFEBC2DB,17978,273692.0
E3BE706403627C3D4BF57BB0224067C0,17728,273657.0
EBFEEFD12AF5D3944326105CDDB39803,19990,273639.0
7D9279959C107415AF35B485527C0A9A,19897,273634.0
D72C164FE66ADFFFE94472B10DA5F9E3,20112,273629.0
79A1C05EF5F3A0F4C2E6DB9FC4B590C0,18065,273616.0
87D9A9CE278E8CEA76060CECE713589A,19526,273521.0
810905D65B788A8EAA8E15FBE4BB92E1,20672,273475.0
F86D4DBFE2A6CC44B9C7EA24A2A7B197,18954,273459.0
B94FC976AA80935B3D978C872D8BDCA5,17523,273426.0
3BA8FB7A76EA6C14C8FB223FB402EC9C,19308,273422.0
94319FFA68D997EE9B85865E3D7E0FD9,19320,273398.0
B3097FE22AF88308099F3D32ED1302BB,20261,273349.0
8521BB0C99BD08A01B290EDF6C55B02E,16498,273312.0
D7BE8487A5ED42E6A829A642B320EE4B,16782,273310.0
EE5A9D77A3A50F1102FFBD93A2FB21C3,19485,273259.0
25C658F4C40A8699C1A363391813FB7A,19939,273178.0
50296A056AF5D221536DC98ABB1E3274,19187,273151.0
338B77C5714992F0350A178079194A03,19429,273137.0
AEE02F4ED7EA876DFDF280C50C219AAC,17959,273115.0
46A696C3BB587C49E6AE9C4B78441F76,19658,273104.0
9AEA423D30A07A1D376FB8E78C88A5E2,19549,273025.0
D92845189AC864D62CE7E122BDFFA31B,20471,272998.0
76128D27820DABC95F99B0151DF40AE8,18750,272977.0
EAB40542E1B689455D0EA2BD8F59AE6A,19237,272933.0
B6A314380DFBBE115B8D9A5034091800,18699,272928.0
7F4D108BB5EC6A5A520D96EB7CAA5C2C,19868,272924.0
56B503FC06B3144F0AAF19C6D1FCD468,18838,272827.0
